tenant_id,mm_order,plant_id,mm_material,mm_qtt,unit_price_cents,line_total_cents
LaplataLunaria,PO-2025-001,WH-001,B_175,14,4800,4800
LaplataLunaria,PO-2025-001,WH-001,B_176,14,3600,3600
LaplataLunaria,PO-2025-001,WH-001,B_177,14,1400,1400
LaplataLunaria,PO-2025-001,WH-001,B_178,14,3800,3800
LaplataLunaria,PO-2025-001,WH-001,B_179,14,2400,2400
LaplataLunaria,PO-2025-001,WH-001,B_180,14,3000,3000
LaplataLunaria,PO-2025-001,WH-001,B_181,14,1600,1600
LaplataLunaria,PO-2025-001,WH-001,B_182,14,2600,2600
LaplataLunaria,PO-2025-001,WH-001,B_183,14,2600,2600
LaplataLunaria,PO-2025-001,WH-001,B_184,14,2600,2600
LaplataLunaria,PO-2025-001,WH-001,B_185,14,1800,1800
LaplataLunaria,PO-2025-001,WH-001,B_186,14,3800,3800
LaplataLunaria,PO-2025-001,WH-001,B_187,14,2400,2400
LaplataLunaria,PO-2025-001,WH-001,B_188,14,2100,2100
LaplataLunaria,PO-2025-001,WH-001,B_189,14,2000,2000
LaplataLunaria,PO-2025-001,WH-001,B_190,14,2400,2400
LaplataLunaria,PO-2025-001,WH-001,B_191,14,2800,2800
LaplataLunaria,PO-2025-001,WH-001,B_192,14,2800,2800
LaplataLunaria,PO-2025-001,WH-001,B_193,14,2800,2800
LaplataLunaria,PO-2025-001,WH-001,B_194,14,2800,2800
LaplataLunaria,PO-2025-001,WH-001,B_195,14,2400,2400
LaplataLunaria,PO-2025-001,WH-001,B_196,14,2800,2800
LaplataLunaria,PO-2025-001,WH-001,B_197,14,2500,2500
LaplataLunaria,PO-2025-001,WH-001,B_198,14,2600,2600
LaplataLunaria,PO-2025-001,WH-001,B_199,14,2700,2700
LaplataLunaria,PO-2025-001,WH-001,B_200,14,2600,2600
LaplataLunaria,PO-2025-001,WH-001,B_201,14,2700,2700
LaplataLunaria,PO-2025-001,WH-001,B_202,14,2800,2800
LaplataLunaria,PO-2025-001,WH-001,B_203,14,2200,2200
LaplataLunaria,PO-2025-001,WH-001,B_204,14,2300,2300
LaplataLunaria,PO-2025-001,WH-001,B_205,14,2400,2400
LaplataLunaria,PO-2025-001,WH-001,B_206,14,2500,2500
LaplataLunaria,PO-2025-001,WH-001,B_207,14,2600,2600
LaplataLunaria,PO-2025-001,WH-001,B_208,14,2700,2700
LaplataLunaria,PO-2025-001,WH-001,B_209,14,2800,2800
LaplataLunaria,PO-2025-001,WH-001,B_210,14,2900,2900
